Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.LANDevice.1.Hosts.Host.2.X_TP_ConnType,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"3",xsd:unsignedInt,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3,true,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Active,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"false",xsd:boolean,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.AddressSource,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"Static",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.HostName,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"Unknown",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.IPAddress,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"192.168.0.102",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.InterfaceType,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.LeaseTimeRemaining,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:int,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.MACAddress,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"88:36:CF:B9:24:A5",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.X_TP_ConnIntf,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"LAN",xsd:string,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.X_TP_ConnType,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.897Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"3",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.DuplexMode,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"Auto",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Enable,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"true",xsd:boolean,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddress,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"9C:A2:F4:5D:19:08",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MACAddressControlEnabled,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"false",xsd:boolean,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.MaxBitRate,false,2023-05-25T22:10:55.893Z,true,2023-05-25T22:10:55.893Z,"Auto",xsd:string,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats,true,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesReceived,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"838076",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.BytesSent,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"649396",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.ErrorsReceived,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Stats.ErrorsSent,false,2023-05-25T22:10:55.893Z,false,2023-05-25T22:10:55.893Z,"0",xsd:unsignedInt,2023-05-25T22:10:55.895Z,,,,
